,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint-Philippe,-21.3585,55.7679,294.94,82,76,4.44,RE,1658674707
1,Punta Arenas,-53.15,-70.9167,275.21,75,20,6.17,CL,1658674707
2,Albany,42.6001,-73.9662,305.05,50,29,0.45,US,1658674679
3,Porto-Novo,6.4965,2.6036,302.05,61,91,4.47,BJ,1658674707
4,Dikson,73.5069,80.5464,280.26,84,100,7.24,RU,1658674708
5,Tuktoyaktuk,69.4541,-133.0374,280.15,93,100,3.6,CA,1658674708
6,Kapaa,22.0752,-159.319,298.33,83,20,6.69,US,1658674708
7,Ushuaia,-54.8,-68.3,274.94,69,0,4.12,AR,1658674492
8,Busselton,-33.65,115.3333,286.5,75,79,5.48,AU,1658674709
9,Castro,-24.7911,-50.0119,296.46,43,86,1.4,BR,1658674709
10,Lüderitz,-26.6481,15.1594,293.55,46,0,5.71,NA,1658674709
11,Havre-St-Pierre,50.2334,-63.5986,294.35,73,0,4.63,CA,1658674710
12,San Cristobal,7.7669,-72.225,295.25,39,98,2.62,VE,1658674710
13,Carnarvon,-24.8667,113.6333,289.98,42,0,7.19,AU,1658674710
14,Atuona,-9.8,-139.0333,297.67,74,48,7.5,PF,1658674710
15,Qaqortoq,60.7167,-46.0333,282.1,74,55,1.46,GL,1658674711
16,Virginia Beach,36.8529,-75.978,306.49,70,40,3.6,US,1658674289
17,Simpang,-1.2667,104.0833,296.77,95,30,0.66,ID,1658674711
18,Chokurdakh,70.6333,147.9167,282.71,61,96,4.37,RU,1658674711
19,Koppies,-27.2418,27.5742,286.87,20,0,3.01,ZA,1658674712
20,Ponta Grossa,-25.095,-50.1619,296.21,46,73,0.87,BR,1658674712
21,Labuhan,-6.8844,112.2051,296.98,73,60,3.76,ID,1658674712
22,Vaitape,-16.5167,-151.75,299.07,77,12,5.41,PF,1658674713
23,Meulaboh,4.1363,96.1285,297.53,92,100,1.32,ID,1658674713
24,Kalmar,56.6616,16.3616,297.67,70,96,2.24,SE,1658674713
25,Jumla,29.2747,82.1838,290.5,99,85,1.16,NP,1658674713
26,Kilindoni,-7.9139,39.6668,297.8,72,5,7.07,TZ,1658674714
27,Mataura,-46.1927,168.8643,276.75,98,17,1.12,NZ,1658674714
28,East London,-33.0153,27.9116,287.67,82,20,5.66,ZA,1658674714
29,Barrow,71.2906,-156.7887,274.13,94,100,3.74,US,1658674715
30,Andradas,-22.0681,-46.5692,299.86,30,23,1.04,BR,1658674715
31,Fort Saint James,54.4333,-124.25,288.93,68,100,1.26,CA,1658674715
32,Tambilil,5.9622,124.6697,299.0,81,100,1.64,PH,1658674716
33,Upernavik,72.7868,-56.1549,278.85,93,96,1.62,GL,1658674716
34,Kamyzyak,46.11,48.0736,296.14,68,40,2.0,RU,1658674716
35,Hithadhoo,-0.6,73.0833,301.21,72,98,2.62,MV,1658674717
36,Atherton,53.5237,-2.4935,294.37,90,100,3.13,GB,1658674574
37,Tromsø,69.6496,18.957,286.16,67,20,4.12,NO,1658674717
38,Roswell,34.0232,-84.3616,303.7,74,16,0.89,US,1658674717
39,Polunochnoye,60.8697,60.4153,289.95,92,98,3.0,RU,1658674717
40,Kaitangata,-46.2817,169.8464,274.73,91,3,1.23,NZ,1658674718
41,Esperance,-33.8667,121.9,285.07,64,87,5.21,AU,1658674718
42,Kruisfontein,-34.0033,24.7314,286.42,78,61,3.21,ZA,1658674718
43,Grand Gaube,-20.0064,57.6608,294.37,70,3,2.68,MU,1658674508
44,Samarai,-10.6167,150.6667,299.38,84,91,6.72,PG,1658674719
45,Ostrovnoy,68.0531,39.5131,284.85,79,84,6.97,RU,1658674719
46,Flinders,-34.5833,150.8552,283.92,89,3,2.68,AU,1658674719
47,Bonavista,48.6499,-53.1147,292.4,71,13,1.41,CA,1658674725
48,Mayumba,-3.432,10.6554,296.34,77,37,4.01,GA,1658674725
49,Moindou,-21.6924,165.677,293.96,86,0,1.04,NC,1658674725
50,Tallahassee,30.4383,-84.2807,305.0,70,15,0.78,US,1658674563
51,Half Moon Bay,37.4636,-122.4286,289.21,90,100,4.12,US,1658674605
52,Ciudad del Carmen,18.6333,-91.8333,300.25,77,62,5.2,MX,1658674496
53,Puerto Madryn,-42.7692,-65.0385,279.88,83,100,6.44,AR,1658674726
54,Gorontalo,0.5412,123.0595,297.14,90,83,2.4,ID,1658674726
55,Leshukonskoye,64.8989,45.7622,291.0,56,52,2.56,RU,1658674727
56,Vaini,-21.2,-175.2,294.24,83,20,3.09,TO,1658674727
57,Butaritari,3.0707,172.7902,301.02,70,38,8.69,KI,1658674727
58,Coquimbo,-29.9533,-71.3436,285.0,87,100,0.51,CL,1658674728
59,Zig,40.127,-92.7663,301.43,77,100,3.58,US,1658674728
60,Prince Rupert,54.3161,-130.3201,286.2,98,100,5.66,CA,1658674620
61,Pran Buri,12.3847,99.9098,300.11,80,87,1.8,TH,1658674728
62,Katsuura,35.1333,140.3,298.73,88,100,6.19,JP,1658674729
63,Ugoofaaru,5.6667,73.0,300.85,75,36,5.25,MV,1658674729
64,Bhatkal,13.9667,74.5667,298.94,86,100,3.76,IN,1658674729
65,Tirumakūdal Narsipur,12.21,76.9064,296.84,80,100,4.97,IN,1658674729
66,Ahipara,-35.1667,173.1667,288.18,93,100,11.39,NZ,1658674730
67,Clyde River,70.4692,-68.5914,279.28,93,100,7.72,CA,1658674730
68,Antalaha,-14.9003,50.2788,294.85,79,14,5.07,MG,1658674730
69,Santa Isabel Rio Negro,-0.4139,-65.0192,302.4,67,99,1.33,BR,1658674731
70,Kamskiye Polyany,55.4307,51.4171,300.6,65,52,0.91,RU,1658674731
71,Cidreira,-30.1811,-50.2056,293.94,80,70,1.87,BR,1658674731
72,Seoul,37.5683,126.9778,297.93,97,20,2.57,KR,1658674204
73,Carroll,39.5501,-77.0164,304.92,57,0,2.06,US,1658674732
74,George Town,5.4112,100.3354,302.12,82,40,3.6,MY,1658674573
75,Hobart,-42.8794,147.3294,282.07,93,78,3.09,AU,1658674626
76,Buala,-8.145,159.5921,299.56,80,26,2.72,SB,1658674732
77,Masuguru,-11.3667,38.4167,302.86,28,30,1.65,TZ,1658674732
78,Fort Nelson,58.8053,-122.7002,285.92,76,75,2.57,CA,1658674733
79,Lev Tolstoy,53.2134,39.446,298.13,62,86,1.54,RU,1658674733
80,Rikitea,-23.1203,-134.9692,296.49,80,73,6.61,PF,1658674733
81,Fairbanks,64.8378,-147.7164,285.83,77,40,0.0,US,1658674502
82,Bredasdorp,-34.5322,20.0403,286.87,64,8,4.7,ZA,1658674734
83,Marsá Maţrūḩ,31.3525,27.2453,303.26,58,0,8.23,EG,1658674455
84,Honiara,-9.4333,159.95,298.33,88,16,2.07,SB,1658674734
85,Saldanha,-33.0117,17.9442,292.18,56,0,4.15,ZA,1658674734
86,Koungou,-12.7336,45.2042,297.99,69,20,3.6,YT,1658674735
87,Zhigalovo,54.8097,105.1578,286.77,92,89,0.82,RU,1658674735
88,Klaksvík,62.2266,-6.589,285.66,92,100,12.37,FO,1658674735
89,Kahului,20.8947,-156.47,298.06,82,9,2.68,US,1658674736
